"Sort","Site","Date","time collected","time burnt","BurnSession","replicate","species_code","species_name","Taxonomic_status","Accepted_name","Accepted_family","growth_form","Vegtype","TimeToFlaming(s)","PostBurntMassEstimate(%)","MaximumFlameTemperature(°C)","blowtorch","FlammabilityIndex","FMC(%)","FMC_proportion","DataSource","Origin"
47,"Cederberg",2024-12-11,"AM","14:34","2PM - 5PM",1,"PRONIT","Protea nitida","Accepted","Protea nitida","Proteaceae","Tree","Fynbos",75,15,652.4,0,1.3467989707987,59.2527729130181,0.592527729130181,"PhD","Native"
48,"Cederberg",2024-12-11,"AM","14:40","2PM - 5PM",2,"STOPLU","Stoebe plumosa","Synonym","Seriphium plumosum","Asteraceae","Shrub","Fynbos",4,45,500.3,0,2.06321214335739,42.8819444444444,0.428819444444444,"PhD","Native"
49,"Cederberg",2024-12-11,"AM","14:51","2PM - 5PM",2,"ACRHUN","Acrosanthes humifusa","Accepted","Acrosanthes humifusa","Aizoaceae","Herb","Fynbos",40,65,495.9,0,1.96747510733534,61.8518518518518,0.618518518518519,"PhD","Native"
50,"Cederberg",2024-12-11,"AM","14:56","2PM - 5PM",2,"PELSCA","Pelargonium scabrum","Accepted","Pelargonium scabrum","Geraniaceae","Shrub","Fynbos",120,90,377.6,1,1.41531317560367,58.3990980834273,0.583990980834273,"PhD","Native"
51,"Cederberg",2024-12-11,"AM","15:01","2PM - 5PM",2,"ELYGNA","Elytropappus gnaphaloides","Synonym","Myrovernix gnaphaloides","Asteraceae","Shrub","Fynbos",5,35,539.3,0,1.99868989982035,31.5560391730141,0.315560391730141,"PhD","Native"
52,"Cederberg",2024-12-11,"AM","15:15","2PM - 5PM",2,"DODVIS","Dodonaea viscosa","Accepted","Dodonaea viscosa","Sapindaceae","Shrub","Fynbos",56,30,544.9,0,1.52824213635395,44.0287769784173,0.440287769784173,"PhD","Native"
53,"Cederberg",2024-12-11,"AM","15:19","2PM - 5PM",2,"PRONIT","Protea nitida","Accepted","Protea nitida","Proteaceae","Tree","Fynbos",120,80,469.5,1,1.42516671234128,59.858878871031,0.59858878871031,"PhD","Native"
54,"Cederberg",2024-12-11,"AM","15:20","2PM - 5PM",3,"STOPLU","Stoebe plumosa","Synonym","Seriphium plumosum","Asteraceae","Shrub","Fynbos",3,35,451.7,0,1.90599327060686,30.7875894988067,0.307875894988067,"PhD","Native"
55,"Cederberg",2024-12-11,"AM","15:32","2PM - 5PM",3,"ACRHUN","Acrosanthes humifusa","Accepted","Acrosanthes humifusa","Aizoaceae","Herb","Fynbos",10,80,388.8,0,2.24108431533754,56.2582345191041,0.562582345191041,"PhD","Native"
56,"Cederberg",2024-12-11,"AM","15:37","2PM - 5PM",3,"PELSCA","Pelargonium scabrum","Accepted","Pelargonium scabrum","Geraniaceae","Shrub","Fynbos",120,95,128.5,1,1.15676593282787,58.6330935251799,0.586330935251799,"PhD","Native"
57,"Cederberg",2024-12-11,"AM","15:46","2PM - 5PM",3,"ELYGNA","Elytropappus gnaphaloides","Synonym","Myrovernix gnaphaloides","Asteraceae","Shrub","Fynbos",10,50,681.9,0,2.29236777199233,38.3742911153119,0.383742911153119,"PhD","Native"
58,"Cederberg",2024-12-11,"AM","15:49","2PM - 5PM",3,"DODVIS","Dodonaea viscosa","Accepted","Dodonaea viscosa","Sapindaceae","Shrub","Fynbos",15,70,537.8,0,2.28055707804269,45.5847255369928,0.455847255369928,"PhD","Native"
59,"Cederberg",2024-12-11,"AM","15:54","2PM - 5PM",3,"PRONIT","Protea nitida","Accepted","Protea nitida","Proteaceae","Tree","Fynbos",81,85,533.8,0,1.88288039341068,54.932502596054,0.54932502596054,"PhD","Native"
60,"Cederberg",2024-12-11,"AM","16:18","2PM - 5PM",1,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",30,30,632.1,0,1.85377272312049,41.025641025641,0.41025641025641,"PhD","Native"
61,"Cederberg",2024-12-11,"AM","16:23","2PM - 5PM",1,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",60,40,450.1,0,1.48143479187601,39.0134529147982,0.390134529147982,"PhD","Native"
