"unique_ID","scientific_name_original","genus_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","fwc","succulence","ldmc","lwr","twig_fwc"
"729_1_htr","Stachys rugosa","Stachys","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","4",2014-07-29,"BHR",1,"21",5.61,1.3,0.3,0.5,0.44,0.146,0.07,0.125,0.062,0.012477718,1.085714286,0.013547237,0.479452055,4.333333333,1.016129032
"729_1_htr","Stachys rugosa","Stachys","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","1",2014-07-29,"BHR",1,"12",3.64,1.1,0.4,0.6,0.469,0.114,0.053,0.144,0.072,0.01456044,1.150943396,0.016758242,0.464912281,2.75,1
"729_10_htr","Asparagus capensis","Asparagus","Asparagaceae","Asparagus capensis","L.","Asparagaceae",-31.42739,19.7757,"htr","1",2014-07-29,"BHR",10,"40",4.38,0.9,0.2,0.2,0.303,0.131,0.053,0.134,0.085,0.012100457,1.471698113,0.017808219,0.404580153,4.5,0.576470588
"729_10_htr","Asparagus capensis","Asparagus","Asparagaceae","Asparagus capensis","L.","Asparagaceae",-31.42739,19.7757,"htr","2",2014-07-29,"BHR",10,"45",5.03,0.8,0.2,0.3,0.457,0.185,0.075,0.4,0.263,0.014910537,1.466666667,0.021868787,0.405405405,4,0.520912548
"729_10_htr","Asparagus capensis","Asparagus","Asparagaceae","Asparagus capensis","L.","Asparagaceae",-31.42739,19.7757,"htr","3",2014-07-29,"BHR",10,"88",5.62,0.5,0.2,0.4,0.325,0.188,0.087,0.209,0.143,0.015480427,1.16091954,0.01797153,0.462765957,2.5,0.461538462
"729_11_htr","Ehrharta calycina","Ehrharta","Poaceae","Ehrharta calycina","Sm.","Poaceae",-31.42739,19.7757,"htr","3",2014-07-29,"BHR",11,"1",4.05,20,0.2,0.3,0.24,0.125,0.04,0.145,0.057,0.009876543,2.125,0.020987654,0.32,100,1.543859649
"729_11_htr","Ehrharta calycina","Ehrharta","Poaceae","Ehrharta calycina","Sm.","Poaceae",-31.42739,19.7757,"htr","1",2014-07-29,"BHR",11,"1",13.16,30.8,0.4,0.8,0.218,0.296,0.085,0.525,0.174,0.006458967,2.482352941,0.016033435,0.287162162,77,2.017241379
"729_11_htr","Ehrharta calycina","Ehrharta","Poaceae","Ehrharta calycina","Sm.","Poaceae",-31.42739,19.7757,"htr","2",2014-07-29,"BHR",11,"1",5.51,22.2,0.2,0.4,0.233,0.139,0.039,0.145,0.046,0.00707804,2.564102564,0.01814882,0.28057554,111,2.152173913
"729_12_htr","Felicia hirsuta","Felicia","Asteraceae","Felicia hirsuta","DC.","Asteraceae",-31.42739,19.7757,"htr","1",2014-07-29,"BHR",12,"100",3.97,0.8,0.1,0.2,0.23,0.101,0.032,0.096,0.054,0.008060453,2.15625,0.017380353,0.316831683,8,0.777777778
"729_12_htr","Felicia hirsuta","Felicia","Asteraceae","Felicia hirsuta","DC.","Asteraceae",-31.42739,19.7757,"htr","2",2014-07-29,"BHR",12,"110",3.66,0.6,0.1,0.2,0.209,0.105,0.035,0.168,0.11,0.009562842,2,0.019125683,0.333333333,6,0.527272727
"729_12_htr","Felicia hirsuta","Felicia","Asteraceae","Felicia hirsuta","DC.","Asteraceae",-31.42739,19.7757,"htr","3",2014-07-29,"BHR",12,"60",2.8,1.2,0.1,0.1,0.237,0.081,0.02,0.079,0.048,0.007142857,3.05,0.021785714,0.24691358,12,0.645833333
"729_13_htr","Selago albida","Selago","Scrophulariaceae","Selago albida","Choisy","Scrophulariaceae",-31.42739,19.7757,"htr","3",2014-07-29,"BHR",13,"80",4.99,1.1,0.1,0.2,0.578,0.321,0.134,0.143,0.081,0.026853707,1.395522388,0.03747495,0.417445483,11,0.765432099
"729_13_htr","Selago albida","Selago","Scrophulariaceae","Selago albida","Choisy","Scrophulariaceae",-31.42739,19.7757,"htr","2",2014-07-29,"BHR",13,"120",4.49,0.7,0.1,0.2,0.588,0.247,0.091,0.152,0.086,0.020267261,1.714285714,0.034743875,0.368421053,7,0.76744186
"729_13_htr","Selago albida","Selago","Scrophulariaceae","Selago albida","Choisy","Scrophulariaceae",-31.42739,19.7757,"htr","4",2014-07-29,"BHR",13,"70",8.92,0.7,0.2,0.2,0.554,0.483,0.198,0.046,0.026,0.022197309,1.439393939,0.031950673,0.409937888,3.5,0.769230769
"729_13_htr","Selago albida","Selago","Scrophulariaceae","Selago albida","Choisy","Scrophulariaceae",-31.42739,19.7757,"htr","1",2014-07-29,"BHR",13,"120",5.6,1.1,0.1,0.2,0.505,0.257,0.089,0.145,0.075,0.015892857,1.887640449,0.03,0.346303502,11,0.933333333
"729_14_htr","Galenia africana","Galenia","Aizoaceae","Aizoon africanum","(L.) Klak","Aizoaceae",-31.42854,19.77599,"htr","1",2014-07-29,"BHR",14,"28",10.74,1.7,0.3,0.5,0.781,0.689,0.191,0.504,0.31,0.017783985,2.607329843,0.046368715,0.277213353,5.666666667,0.625806452
"729_14_htr","Galenia africana","Galenia","Aizoaceae","Aizoon africanum","(L.) Klak","Aizoaceae",-31.42854,19.77599,"htr","2",2014-07-29,"BHR",14,"45",5.53,1.5,0.2,0.3,0.556,0.316,0.11,0.378,0.25,0.019891501,1.872727273,0.037251356,0.348101266,7.5,0.512
